run,benchmark,params,mfics,maxmficsize,process,step,initTests,askedTests,benCycles,totalTests,time,precision,recall,f,isomfics,ft,lastTest
2,ART4,7,2,3,MIX,34,34,0,0,34,83,1,1,1,"[{a=true, b=true}, {c=false, d=true, e=true}]","[{a=true, b=true, f=true}, {a=true, b=true, c=false}, {a=true, b=true, e=true}, {a=true, b=true, d=true}, {a=true, b=true, g=false}, {a=true, b=true, g=true}, {a=true, b=true, f=false}, {a=true, b=true, e=false}, {a=true, b=true, d=false}, {a=true, b=true, c=true}]","[{a=false, b=false, c=true, d=true, e=false, f=true, g=false}]"
3,ART4,7,2,3,MIX,43,43,0,0,43,84,1,1,1,"[{a=true, b=true}, {c=false, d=true, e=true}]","[{a=true, b=true, f=true}, {a=true, b=true, c=false}, {a=true, b=true, e=true}, {a=true, b=true, d=true}, {a=true, b=true, g=false}, {a=true, b=true, g=true}, {a=true, b=true, f=false}, {a=true, b=true, e=false}, {a=true, b=true, d=false}, {a=true, b=true, c=true}]","[{a=true, b=false, c=false, d=true, e=false, f=true, g=true}]"
4,ART4,7,2,3,MIX,27,27,0,0,27,72,1,1,1,"[{a=true, b=true}, {c=false, d=true, e=true}]","[{a=true, b=true, f=true}, {a=true, b=true, c=false}, {a=true, b=true, e=true}, {a=true, b=true, d=true}, {a=true, b=true, g=false}, {a=true, b=true, g=true}, {a=true, b=true, f=false}, {a=true, b=true, e=false}, {a=true, b=true, d=false}, {a=true, b=true, c=true}]","[{a=true, b=false, c=false, d=false, e=false, f=true, g=false}]"
5,ART4,7,2,3,MIX,38,38,0,0,38,73,1,1,1,"[{a=true, b=true}, {c=false, d=true, e=true}]","[{a=true, b=true, f=true}, {a=true, b=true, c=false}, {a=true, b=true, e=true}, {a=true, b=true, d=true}, {a=true, b=true, g=false}, {a=true, b=true, g=true}, {a=true, b=true, f=false}, {a=true, b=true, e=false}, {a=true, b=true, d=false}, {a=true, b=true, c=true}]","[{a=true, b=false, c=true, d=true, e=false, f=false, g=true}]"
6,ART4,7,2,3,MIX,33,33,0,0,33,40,1,1,1,"[{a=true, b=true}, {c=false, d=true, e=true}]","[{a=true, b=true, f=true}, {a=true, b=true, c=false}, {a=true, b=true, e=true}, {a=true, b=true, d=true}, {a=true, b=true, g=false}, {a=true, b=true, g=true}, {a=true, b=true, f=false}, {a=true, b=true, e=false}, {a=true, b=true, d=false}, {a=true, b=true, c=true}]","[{a=true, b=false, c=true, d=true, e=true, f=true, g=false}]"
7,ART4,7,2,3,MIX,45,45,0,0,45,124,1,1,1,"[{a=true, b=true}, {c=false, d=true, e=true}]","[{a=true, b=true, f=true}, {a=true, b=true, c=false}, {a=true, b=true, e=true}, {a=true, b=true, d=true}, {a=true, b=true, g=false}, {a=true, b=true, g=true}, {a=true, b=true, f=false}, {a=true, b=true, e=false}, {a=true, b=true, d=false}, {a=true, b=true, c=true}]","[{a=true, b=false, c=false, d=false, e=true, f=true, g=true}]"
8,ART4,7,2,3,MIX,39,39,0,0,39,66,1,1,1,"[{a=true, b=true}, {c=false, d=true, e=true}]","[{a=true, b=true, f=true}, {a=true, b=true, c=false}, {a=true, b=true, e=true}, {a=true, b=true, d=true}, {a=true, b=true, g=false}, {a=true, b=true, g=true}, {a=true, b=true, f=false}, {a=true, b=true, e=false}, {a=true, b=true, d=false}, {a=true, b=true, c=true}]","[{a=false, b=true, c=true, d=true, e=true, f=true, g=true}]"
9,ART4,7,2,3,MIX,40,40,0,0,40,61,1,1,1,"[{a=true, b=true}, {c=false, d=true, e=true}]","[{a=true, b=true, f=true}, {a=true, b=true, c=false}, {a=true, b=true, e=true}, {a=true, b=true, d=true}, {a=true, b=true, g=false}, {a=true, b=true, g=true}, {a=true, b=true, f=false}, {a=true, b=true, e=false}, {a=true, b=true, d=false}, {a=true, b=true, c=true}]","[{a=false, b=true, c=true, d=true, e=true, f=true, g=false}]"
10,ART4,7,2,3,MIX,36,36,0,0,36,113,1,1,1,"[{a=true, b=true}, {c=false, d=true, e=true}]","[{a=true, b=true, f=true}, {a=true, b=true, c=false}, {a=true, b=true, e=true}, {a=true, b=true, d=true}, {a=true, b=true, g=false}, {a=true, b=true, g=true}, {a=true, b=true, f=false}, {a=true, b=true, e=false}, {a=true, b=true, d=false}, {a=true, b=true, c=true}]","[{a=true, b=false, c=false, d=false, e=true, f=true, g=true}]"
1,ART5,7,1,2,MIX,9,9,0,0,9,2,1,1,1,"[{a=true, b=true}]",[],"[{a=false, b=true, c=true, d=false, e=false, f=false, g=true}]"
2,ART5,7,1,2,MIX,15,15,0,0,15,4,1,1,1,"[{a=true, b=true}]",[],"[{a=false, b=true, c=true, d=false, e=true, f=true, g=true}]"
